value_axis_2,MAX(value_axis_2),MAX(value_axis_1)/1000000
10,10,3976.8951744000000000
25,25,7974.1248165000000000
50,50,10990.2412544000000000
100,100,12166.8661602000000000
250,250,12745.4502778000000000
500,500,13203.6512627000000000
1000,1000,13708.7063918000000000
2500,2500,14455.1892194000000000
5000,5000,15086.8485605000000000
