value_axis_2,MAX(value_axis_2),MAX(value_axis_1)/1000000
0.0002,0.0002,52098.3036577000000000
0.0004,0.0004,43865.1181358000000000
0.0010,0.0010,34592.2555475000000000
0.0020,0.0020,28625.4977593000000000
0.0040,0.0040,23435.4298601000000000
0.0100,0.0100,17605.7829444000000000
0.0200,0.0200,13876.0292409000000000
0.0400,0.0400,10664.6991663000000000
0.1000,0.1000,5541.3321627000000000
