"Search Parameters"	"Year"	"Mo"	"Dy"	"Tsu"	"Eq"	"Name"	"Location"	"Country"	"Latitude"	"Longitude"	"Elevation (m)"	"Type"	"VEI"	"Agent"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"
	1944	3	27			"Vesuvius"	"Italy"	"Italy"	40.821	14.426	1281	"Complex volcano"	3	"T,L,I"	27	1									27	1								
	1944	8	20	4227		"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"	2	"W"																		1	1	1
	1954	2		3395		"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"		"W"																		1		
	1970	3	2			"Campi Flegrei"	"Italy"	"Italy"	40.827	14.139	458	"Caldera"		"S"	3	1						1		1	3	1						1		1
	1979	9	12			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	3	"T"	9	1			23	1					9	1			23	1				
	1981	3	17			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	2								10	3												
	1984	10	16			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	3	"S"	1	1									1	1								
	1985	12	19			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	1	"S"	1	1									1	1								
	1986	7	24			"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"	2	"T"	1	1									1	1								
	1987	4	17			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	2	"T"	2	1			7	1					2	1			7	1				
	1991	12	14			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	2								2.5	2									2.5	2		
	2001	5	14			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	3		1	1						1			1	1						1		
	2001	7	26			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	2									1		1								1		1
	2001	10	20			"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"	2	"T"	1	1									1	1								
	2002	8	28		5659	"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	3						32	1		2		2					32	1		2		2
	2002	12	30	2923		"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"								1		1		1						1		1		1
	2017	3	15			"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"		"P"					10	1									10	1				
	2017	9	12			"Campi Flegrei"	"Italy"	"Italy"	40.827	14.139	458	"Caldera"			3	1									3	1								
	2018	12	26		10383	"Etna"	"Italy"	"Italy"	37.748	14.999	3357	"Stratovolcano"	2	"S"															28	1	115	4	15	1
	2019	7	3	5913		"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"	2	"P,T,W"	1	1			1	1					1	1			1	1				
	2019	8	28	5716		"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"	2	"W"																				
	2021	5	19	5912		"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"	2	"W"																				
	2022	10	9	5865		"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"	2	"P,W"																				
	2022	12	4	5868		"Stromboli"	"Italy"	"Italy"	38.789	15.213	924	"Stratovolcano"	2	"P,W"																				
