value_axis_2,MAX(value_axis_2),MAX(value_axis_1)/1000000
10,10,5541.3321627000000000
25,25,10664.6991663000000000
50,50,13876.0292409000000000
100,100,17605.7829444000000000
250,250,23435.4298601000000000
500,500,28625.4977593000000000
1000,1000,34592.2555475000000000
2500,2500,43865.1181358000000000
5000,5000,52098.3036577000000000
