Sector,Existing climate,Lower bound,Upper bound
Buildings,1798.064794,1773.1151566,1936.5145399
Education,77.7157185,76.6386734,83.7007145
Health,0.9073055,0.8946864,0.9771641
Oil and Gas,3.343495,3.328774,3.4284854
Ports and Airports,19.5862194,19.4298707,21.0959853
Power,590.9095498,586.5719169,637.564742
Roads and Railways,439.6990088,436.0630056,475.1847735
Telecommunications,326.3750366,323.4266538,353.2571419
Water and Wastewater,43.9853196,43.5669261,47.7074895
