value_axis_2,MAX(value_axis_2),MAX(value_axis_1)/1000000
10,10,3376.0892900000000000
25,25,7333.3686158000000000
50,50,11173.4928803000000000
100,100,13495.8892053000000000
250,250,15180.2071571000000000
500,500,16911.2854301000000000
1000,1000,19358.8378840000000000
2500,2500,24209.4772590000000000
5000,5000,29665.0188088000000000
