Sector,Existing climate,Lower bound,Upper bound
Buildings,0.0,0.0,63.1879301
Education,0.0,0.0,6.2657495
Health,0.0,0.0,0.021985
Oil and Gas,0.0,0.0,0.0
Ports and Airports,0.0,0.0,0.0
Power,0.0,0.0,0.0011068
Roads and Railways,0.0,0.0,0.0004958
Telecommunications,0.0,0.0,0.0
Water and Wastewater,0.0,0.0,0.0039351
