value_axis_2,MAX(value_axis_2),MAX(value_axis_1)/1000000
0.0002,0.0002,50178.5174869000000000
0.0004,0.0004,38810.1083023000000000
0.0010,0.0010,27427.4793979000000000
0.0020,0.0020,20938.5342169000000000
0.0040,0.0040,12353.0678331000000000
0.0100,0.0100,4948.9838256000000000
0.0200,0.0200,2475.7874016000000000
0.0400,0.0400,1238.2178275000000000
0.1000,0.1000,495.3649544000000000
