value_axis_2,MAX(value_axis_2),MAX(value_axis_1)/1000000
10,10,7630.2763524000000000
25,25,16538.1610349000000000
50,50,25145.4767264000000000
100,100,30333.4163139000000000
250,250,34087.7451672000000000
500,500,37939.1196366000000000
1000,1000,43372.1501327000000000
2500,2500,54096.8472692000000000
5000,5000,66091.6872336000000000
