value_axis_2,MAX(value_axis_2),MAX(value_axis_1)/1000000
10,10,17142.837774700000
25,25,34449.657336500000
50,50,47319.951368100000
100,100,52602.421034400000
250,250,55941.422016900000
500,500,58930.413973600000
1000,1000,62526.875422100000
2500,2500,68413.080718000000
5000,5000,73900.480113200000
