value_axis_2,MAX(value_axis_2),MAX(value_axis_1)/1000000
10,10,106.0434133000000000
25,25,230.1709509000000000
50,50,350.4474964000000000
100,100,423.1032208000000000
250,250,475.7572059000000000
500,500,529.8383424000000000
1000,1000,606.2432128000000000
2500,2500,757.4580614000000000
5000,5000,927.2025600000000000
