"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Country = INDONESIA""]"																																													
	416						2	6		4562		0	"INDONESIA"	"JAVA-S. JAVA"	-6.102	105.423		4		2	3.5		3						4						3						4				
	1550						1	6		663		0	"INDONESIA"	"N. MOLUCCAS ISLANDS"	0.32	127.4		0																							1				
	1608	7	1				3	6		607		0	"INDONESIA"	"GAMALAMA, TERNATE ISLAND"	0.8	127.325		1			1.5		1												1						1				
	1629	8	1				3	1				0	"INDONESIA"	"BANDA SEA"	-4.6	129.9	16	3		4	3								2		2										2		2		
	1630						-1	1				0	"INDONESIA"	"BANDA SEA"	-4.6	129.9		0		1																									
	1646	7	19				1	4		664		0	"INDONESIA"	"N. MOLUCCAS ISLANDS"	0.32	127.4	1.5	0																	3										
	1648	2	29				-1	0				0	"INDONESIA"	"BANDA SEA"				0																											
	1657	12					2	1				0	"INDONESIA"	"BANDA SEA"	-3	128		1		1	1																								
	1659	11	11				2	6		457		0	"INDONESIA"	"BANDA SEA"	-6.92	129.125	1.5	1			0																								
	1673	5	20				-1	6				0	"INDONESIA"	"N. MOLUCCAS ISLANDS"	1.375	127.52		0																											
	1673	7	12				-1	1				0	"INDONESIA"	"BANDA SEA"	-3	128		0																											
	1673	8	12				3	6		599		0	"INDONESIA"	"N. MOLUCCAS ISLANDS"	1.375	127.52		1		1	1														3						1		1		
	1674	2	17	11	30		4	3	6.8			0	"INDONESIA"	"BANDA SEA"	-3.75	127.75	100	33		2	1.5	2244	4			6	1		3		3			2330	4			41	1		3		3		
	1674	5	6				3	1	6			0	"INDONESIA"	"BANDA SEA"	-3.7	128.2		1		1	0																								
	1681	12	11				2	1				0	"INDONESIA"	"SUMATRA"				0																											
	1690						-1	0				0	"INDONESIA"	"BANDA SEA"				0																											
	1708	11	28				3	1				0	"INDONESIA"	"BANDA SEA"	-3.69	128.15		2		2	2								1												1				
	1710	3	6				3	1				0	"INDONESIA"	"BANDA SEA"	-4.53	129.9		1		1	1.5								1												3				3
	1711	9	5				4	1	7			0	"INDONESIA"	"BANDA SEA"	-4	129	1.2	2		1	1.5	2	1						1	2	1			2	1						1	2	1		
	1722	10					1	1				0	"INDONESIA"	"DJAKARTA (JAKARTA), JAVA"	-6.174	106.829		1			0																								
	1754	8	18				3	1	6.5			0	"INDONESIA"	"BANDA SEA"	-3.5	128.5		3			0													4	1						2		2		2
	1754	9	7				2	1				0	"INDONESIA"	"BANDA SEA"	-3.5	128.5		1		1	0																								
	1757	8	24				2	1	7.5			0	"INDONESIA"	"JAKARTA"	-6	107	0.5	1			-0.5																								
	1763	9	12				3	1				0	"INDONESIA"	"BANDA SEA"	-6	130	9	2			2.5	7	1											7	1						2		3		
	1770						3	1	7	7542		0	"INDONESIA"	"SW. SUMATRA"	-5	102		1			0.5																				3		3		
