"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Country = USA"",""Area = AK""]"																																													
	1540						2	6		4583		0	"USA"	"COOK INLET, AK"	59.37	-153.42		0																											
	1788	7	21				4	1	8			2	"USA"	"ALASKA PENINSULA, AK"	57	-153	30	4		3	4		3						1		1				3						1		1		
	1788	8	6				4	1	8			1	"USA"	"SHUMAGIN ISLANDS, AK"	55	-161	88	3		3.3	4		3												3										
	1790	9	11				-1	9				0	"USA"	"E. ALEUTIAN ISLANDS, AK"				1																											
	1792						1	9				0	"USA"	"KODIAK ISLAND, AK"	57	-152		1			1								1												1		1		
	1796	5	29				1	6				0	"USA"	"BOGOSLOF ISLAND, AK"	54	-167		2																											
	1820	3	1				2	6		5044		0	"USA"	"E. ALEUTIAN ISLANDS, AK"	54.52	-164.65		1			0.5																								
	1825	3	21				-1	6		3164		0	"USA"	"UNIMAK ISLAND, AK"	54.77	-164.18		1			0.5																								
	1826	10	22				-1	6				0	"USA"	"UNIMAK ISLAND, AK"	55	-165		1																											
	1827	8	8				-1	4				0	"USA"	"ALASKA PENINSULA, AK"				1																											
	1827						-1	6				0	"USA"	"E. ALEUTIAN ISLANDS, AK"				0																											
	1845						3	8				0	"USA"	"SE. ALASKA, AK"				1			3	100	2											100	2										
	1853						4	8				0	"USA"	"LITUYA BAY, AK"	58.63	-137.57	120	1		4.3	4		2												2										
	1854	1	27	18	10		3	3				0	"USA"	"KODIAK ISLAND, AK"	57	-152	2.4	2			0.5																								
	1856	7	26				1	6		5884		0	"USA"	"UNIMAK ISLAND, AK"	54.6	-165		1																											
	1865	7	16	3	0	0	1	1				0	"USA"	"UNALASKA ISLAND, AK"	54	-167		1											1		1														
	1866	9	5	13	0	0	2	1				0	"USA"	"KODIAK ISLAND, AK"	58	-152		1											1																
	1868	5	15				2	1				0	"USA"	"SHUMAGIN ISLANDS, AK"	55	-161	6.1	1			2.5																								
	1872	8	23	18	6		4	1				0	"USA"	"FOX ISLANDS, ALEUTIAN ISLANDS, AK"	52.2	-168.5	1.3	8		1.6	0																								
	1874	5					3	8				0	"USA"	"LITUYA BAY, AK"	58.64	-137.57	24.38	1																											
	1878	1	20				3	1				0	"USA"	"ALEUTIAN ISLANDS, AK"			3.6	5		1.6	1.5								1	3	1										1	3	1		
	1878	8	29				1	4		4522		1	"USA"	"UNALASKA ISLAND, AK"	54	-167		1		1	1.5																								
	1880	9	29	4			3	1	6.3			0	"USA"	"CHIRIKOF ISLAND, AK"	55.8	-155.6		2																											
	1880	10	26	22	20		3	3	6.3			0	"USA"	"SITKA, AK"	57	-136	1.8	2		5.9	0																								
	1883	10	6	19	4		4	7		3268		8	"USA"	"COOK INLET, AK"	59.4	-153.4	9.14	3		3.2	3		1						1		1			8	1						1		1		
	1897	4	17				2	8				0	"USA"	"GULF OF ALASKA, AK"				1											1												1				
	1899	9	4	0	22		4	1	8.2			1	"USA"	"CAPE YAKATAGA, AK"	60	-142	3.1	4			0								1												1				
	1899	9	10	21	41		4	3	8.2			0	"USA"	"YAKUTAT BAY, AK"	60	-140	60.96	12		5.9	3								3												3				
	1900	8	11	4	40		4	3				0	"USA"	"LITUYA BAY, AK"	58.6	-137.5		1				5	1						1					5	1						1				
	1901	12	31	9	2	30	1	1	7.1			0	"USA"	"FOX ISLANDS, ALEUTIAN ISLANDS, AK"	51.45	-171.02		1																											
	1903	8					2	6				0	"USA"	"COOK INLET, AK"				1																											
	1905	7	4				4	8				0	"USA"	"DISENCHANTMENT BAY, AK"	60	-139.58	33.53	4		5.1	2.5																								
	1907	9	24	12	58	0	3	3	5.5			0	"USA"	"SKAGWAY, AK"	59.5	-135.5	0.7	1		-0.5	0																				1				
	1908	2	14	11	25	0	1	3	6			0	"USA"	"PRINCE WILLIAM SOUND, AK"	61	-146.2		1																							1				
	1910	11	5				1	0				0	"USA"	"NOME, AK"	64	-165		2											2		2										2		2		
	1911	9	22	5	1	24	1	3	6.9			0	"USA"	"PRINCE WILLIAM SOUND, AK"	60.5	-149		1			0.5																				1				
	1917	8	16				3	8				0	"USA"	"TAKU INLET, JUNEAU, AK"	58.204	-134.147	2.4	1				1	1						1					1	1						1				
	1925	2	23	23	53	36	3	3	6			0	"USA"	"GULF OF ALASKA, AK"	60	-146	1.4	1		0.5	1								1												1				
	1927	10	12	8	31	0	2	8				0	"USA"	"SE. ALASKA, AK"				1																											
	1927	10	24	15	59	44.8	3	3	7.1			0	"USA"	"SE. ALASKA, AK"	57.69	-136.07		9											1																
	1929	3	7	1	34	37.9	4	1	7.8			0	"USA"	"FOX ISLANDS, ALEUTIAN ISLANDS, AK"	50.88	-169.71	1	7											1												1				
	1936	10	27	15	50	0	4	8				0	"USA"	"LITUYA BAY, AK"	58.6	-137.1	149.35	1		5.6	4								1	2	1														
	1937	9	21				-1	0	5.8			0	"USA"	"BERING SEA, AK"	58	-165		0			1																								
	1938	11	10	20	18	41.2	4	1	8.2			0	"USA"	"SHUMAGIN ISLANDS, AK"	55.48	-158.37	0.3	9		-1.7																									
	1946	4	1	12	29	1.3	4	3	8.6			11	"USA"	"UNIMAK ISLAND, AK"	53.492	-162.832	42	621		5.1	4	168	3					26.271	4		3			168	3					26.271	4		3		
	1946	11	1	11	14	24	1	1	7			0	"USA"	"ANDREANOF ISLANDS, AK"	51.5	-174.5		1																											
	1949	9	27	15	30	45	-1	1	6.7			0	"USA"	"GULF OF ALASKA, AK"	59.75	-149		1																											
	1957	3	9	14	22	31.9	4	1	8.6			6	"USA"	"ANDREANOF ISLANDS, AK"	51.499	-175.626	32	332		3.9	3	2	1			1	1		3		1			2	1			1	1		3		1		
	1958	7	10	6	15	59.9	4	3	7.8			2	"USA"	"SE. ALASKA, AK"	58.37	-136.665	524.6	17		4.6	5	5	1					0.1	1		1			5	1					0.1	1		1		
	1962	12	21	8	42	43	1	1	6.5			0	"USA"	"FOX ISLANDS, ALEUTIAN ISLANDS, AK"	52.47	-168.54		1																											
