"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
	1964	3	20	16			2	0				0	"USA"	"GULF OF ALASKA, AK"			0.08	1																											
	1964	3	28	3	36	16	4	3	9.2			20	"USA"	"PRINCE WILLIAM SOUND, AK"	60.908	-147.339	51.8	428		6.1	3.5	124	3					116	4		3			139	3					400	4		3		
	1965	2	4	5	1	22	4	1	8.7			0	"USA"	"RAT ISLANDS, ALEUTIAN ISLANDS, AK"	51.251	178.715	10.7	84		3.3	2.5							0.01	1											0.01	1				
	1965	3	30	2	27	3.4	4	1	7.6			0	"USA"	"RAT ISLANDS, ALEUTIAN ISLANDS, AK"	50.32	177.93	0.1	3		-2.3	-1																								
	1965	7	2	20	58	38.1	4	1	6.5			0	"USA"	"FOX ISLANDS, ALEUTIAN ISLANDS, AK"	53.03	-167.55	0.08	3		-3.3	-2																				1				
	1967	10					3	8				0	"USA"	"GREWINGK, AK"	59.621	-151.106	60	1																											
	1970	3	11	22	38	34.6	3	1	6			0	"USA"	"ANDREANOF ISLANDS, AK"	57.5	-153.9	0.03	2																							1				
	1971	5	2	6	8	27.8	4	1	7.1			0	"USA"	"ANDREANOF ISLANDS, AK"	51.228	-177.173	0.04	1			-3																								
	1971	11	6	22	0	0.1	2	1	5.7			0	"USA"	"RAT ISLANDS, ALEUTIAN ISLANDS, AK"	51.5	179.1	0.1	2																											
	1972	7	30	21	45	14.1	4	3	7.6			0	"USA"	"SE. ALASKA, AK"	56.82	-135.685	0.1	3		-2.3	-2																				1				
	1979	2	28	21	27	8.1	4	3	7.5			0	"USA"	"SE. ALASKA, AK"	60.691	-141.671	0.15	2		-1.7																					1				
	1986	5	7	22	47	10.8	4	1	8			0	"USA"	"ANDREANOF ISLANDS, AK"	51.52	-174.776	0.9	66		-0.1																					2				2
	1986	5	17	16	20	22.2	1	1	6.4			0	"USA"	"ANDREANOF ISLANDS, AK"	52.327	-174.504		0																											
	1987	11	17	8	46	53.3	4	1	7.2			0	"USA"	"GULF OF ALASKA, AK"	58.586	-143.27	0.06	1		-3.3																									
	1987	11	30	19	23	19.5	4	1	7.9			0	"USA"	"GULF OF ALASKA, AK"	58.679	-142.786	0.43	10		-1									1												1				
	1988	3	6	22	35	36.9	4	1	7.8			0	"USA"	"GULF OF ALASKA, AK"	57.262	-142.747	0.19	9		-2.3																				0.005	1				
	1989	9	4	13	14	58.2	4	1	7.1			0	"USA"	"SEMIDI ISLANDS, AK"	55.543	-156.835	0.1	2		-3.3																									
	1991	2	21	2	35	34	4	1	6.7			0	"USA"	"BERING SEA, AK"	58.427	-175.45	0.15	2		-1.7																									
	1994	11	4	4	12		4	8				0	"USA"	"SKAGWAY, AK"	59.5	-135.3	9	2		3.5	2.5	1	1					25	4					1	1					25	4				
	1996	6	10	4	3	35.4	4	1	7.9			0	"USA"	"ANDREANOF ISLANDS, AK"	51.564	-177.632	0.51	65			0.5																								
	1996	6	10	15	24	56	4	1	7.3			0	"USA"	"ANDREANOF ISLANDS, AK"	51.478	-176.847	0.18	1		-3.3	-1.5																								
	2003	11	17	6	43	6.8	4	1	7.8			0	"USA"	"RAT ISLANDS, ALEUTIAN ISLANDS, AK"	51.146	178.65	0.33	20																							1				
	2007	8	2	3	21	42.8	4	1	6.7			0	"USA"	"ALEUTIAN ISLANDS, AK"	51.307	-179.971	0.03	1																											
	2008	8	8				4	6		4924		0	"USA"	"KASATOCHI VOLCANO, ALEUTIAN IS, AK"	52.18	-175.5	0.19	2																											
	2011	6	24	3	9	39.4	4	1	7.3			0	"USA"	"ATKA, ALEUTIAN ISLANDS, AK"	52.05	-171.836	0.1	7																											
	2011	9	2	10	55	53.5	4	1	6.8			0	"USA"	"FOX ISLANDS, ALEUTIAN ISLANDS, AK"	52.171	-171.708	0.06	1																											
	2013	1	5	8	58	19.3	4	3	7.5			0	"USA"	"SE. ALASKA, AK"	55.393	-134.652	1.5	8											1												1				
	2014	6	23	20	53	9.7	4	1	7.9			0	"USA"	"ALEUTIAN ISLANDS, AK"	51.849	178.735	0.17	20																											
	2014	7	25	10	54	50.4	4	1	6			0	"USA"	"PALMA BAY, AK"	58.335	-136.971	0.08	1																											
	2015	7	27	4	49	46.4	4	1	6.9			0	"USA"	"FOX ISLANDS, ALEUTIAN ISLANDS, AK"	52.376	-169.446	0.08	2																											
	2015	10	18	5	19		4	8				1	"USA"	"ICY BAY, AK"	60.08	-141.3	193	3																											
	2017	5	1	12	31	3	4	1	6.2			0	"USA"	"SKAGWAY, AK"	59.821	-136.711	0.06	1																											
	2018	1	23	9	31	40.9	4	1	7.9			0	"USA"	"KODIAK ISLAND, AK"	56.004	-149.166	0.25	64																							1				
	2020	7	22	6	12	44	4	1	7.8			0	"USA"	"SHUMAGIN ISLANDS, AK"	55.03	-158.522	0.24	13																							1				
	2020	10	19	20	54	39	4	1	7.6			0	"USA"	"SHUMAGIN ISLANDS, AK"	54.608	-159.655	0.76	33																											
	2021	7	29	6	15	47	4	1	8.2			0	"USA"	"KODIAK ISLAND, AK"	55.325	-157.841	0.42	63																											
	2022	5	8	3	40		4	8				0	"USA"	"RESURRECTION BAY, AK"	60.092	-149.444	0.06	1																											
	2023	7	16	6	48	22	4	1	7.2			0	"USA"	"SAND POINT, AK"	54.46	-160.76	0.15	3				1	1											1	1										
	2024	8	7	12	54	49	4	8				0	"USA"	"PEDERSEN LAGOON, AK"	59.904	-149.825	17	3											1												1				
