value_axis_2,MAX(value_axis_2),MAX(value_axis_1)/1000000
0.0002,0.0002,1874.2423103000000000
0.0004,0.0004,1529.5283001000000000
0.0010,0.0010,1223.0476613000000000
0.0020,0.0020,1068.4068864000000000
0.0040,0.0040,959.0359779000000000
0.0100,0.0100,852.6208057000000000
0.0200,0.0200,705.8940893000000000
0.0400,0.0400,463.2844961000000000
0.1000,0.1000,213.2807426000000000
