value_axis_2,MAX(value_axis_2),MAX(value_axis_1)/1000000
10,10,2544.8545763000000000
25,25,3632.8065083000000000
50,50,4559.2990795000000000
100,100,5571.3533847000000000
250,250,7042.6765093000000000
500,500,8261.4726636000000000
1000,1000,9577.3672975000000000
2500,2500,11478.9883731000000000
5000,5000,13049.9539608000000000
