value_axis_2,MAX(value_axis_2),MAX(value_axis_1)/1000000
10,10,479.8789577000000000
25,25,681.8907836000000000
50,50,852.2331125000000000
100,100,1037.1612475000000000
250,250,1303.6578968000000000
500,500,1522.3054956000000000
1000,1000,1757.0250586000000000
2500,2500,2092.3867196000000000
5000,5000,2367.6013782000000000
