value_axis_2,MAX(value_axis_2),MAX(value_axis_1)/1000000
0.0002,0.0002,4983.4538434000000000
0.0004,0.0004,4036.4388132000000000
0.0010,0.0010,3020.1999946000000000
0.0020,0.0020,2400.8045092000000000
0.0040,0.0040,1514.2173869000000000
0.0100,0.0100,612.7625475000000000
0.0200,0.0200,307.5789797000000000
0.0400,0.0400,154.0906754000000000
0.1000,0.1000,61.7087813000000000
