Sector,Existing climate,Lower bound,Upper bound
Buildings,7381.2675141,6816.3928441,8236.3612819
Education,741.1030896,684.4021713,827.0023032
Health,2.6467967,2.4442935,2.9535797
Oil and Gas,1.0408209,1.0220204,1.1552149
Ports and Airports,1.6275444,1.6199747,1.7869424
Power,125.9491568,118.5963756,133.2730697
Roads and Railways,108.5151194,98.0170832,125.8152109
Telecommunications,66.1917314,59.3224214,72.9596334
Water and Wastewater,13.7698678,12.407039,15.8870865
