Sector,Existing climate,Lower bound,Upper bound
Buildings,6.6573982,6.6573982,13.2622462
Education,0.1904046,0.1904046,0.3536472
Health,0.0172287,0.0172287,0.0330869
Oil and Gas,0.0,0.0,0.0
Ports and Airports,0.0,0.0,0.0
Power,0.0397179,0.0397179,0.051818
Roads and Railways,1.8995498,1.8995498,2.4909917
Telecommunications,0.090158,0.090158,0.0914022
Water and Wastewater,0.0537305,0.0537305,0.0670448
