"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Country = RUSSIA""]"																																													
	1959	8	29	17	3	10	0	1	6.5			0	"RUSSIA"	"LAKE BAYKAL (BAIKAL)"	52	106.5		0																											
	1961	2	12	21	53	0	4	1	6.6			0	"RUSSIA"	"S. KURIL ISLANDS"	43.2	147.9	1	5			-0.5																								
	1963	10	12	11	27	0.2	4	1	7.1			0	"RUSSIA"	"S. KURIL ISLANDS"	44.426	149.272	0.12	3		-3.3	-2																								
	1963	10	13	5	17	53.4	4	1	8.5			0	"RUSSIA"	"S. KURIL ISLANDS"	44.772	149.798	4.5	91		2.3	2.5																								
	1963	10	20	0	53	10.9	4	1	7.9			0	"RUSSIA"	"S. KURIL ISLANDS"	44.772	150.563	15	22		3.9	3																								
	1964	7	24	8	12	39	4	1	6.8			0	"RUSSIA"	"S. KURIL ISLANDS"	47.159	153.876	0.08	5		-3.3	-2																								
	1965	6	11	3	34	2	4	1	7.2			0	"RUSSIA"	"S. KURIL ISLANDS"	44.7	148.7	0.1	6		-3.3	-3																								
	1966	7	12	18	53		4	1	5.5			0	"RUSSIA"	"BLACK SEA"	44.75	37	0.2	7			1																								
	1967	3	19	4	1	38.5	1	1	7			0	"RUSSIA"	"S. KURIL ISLANDS"	45.53	151.11		0																											
	1968	1	29	10	19	7.2	4	1	7.3			0	"RUSSIA"	"S. KURIL ISLANDS"	43.586	146.701	0.18	17		-1.7	-1																								
	1969	8	11	21	26	36	4	1	8.2			0	"RUSSIA"	"S. KURIL ISLANDS"	43.6	147.9	5	76		1.4	2																				1				
