Sector,Existing climate,Lower bound,Upper bound
Buildings,1407.4689124,1407.4689124,3268.1244823
Education,40.4302339,40.4302339,93.8021309
Health,3.5774816,3.5774816,8.3200451
Oil and Gas,86.8372019,86.8372019,103.2520526
Ports and Airports,1335.3443339,1335.3443339,1963.6399519
Power,5974.4074078,5974.4074078,8737.773816
Roads and Railways,308.3846587,308.3846587,497.0514182
Telecommunications,11764.6536642,11764.6536642,12458.2506194
Water and Wastewater,594.294008,594.294008,828.9479792
