value_axis_2,MAX(value_axis_2),MAX(value_axis_1)/1000000
0.0002,0.0002,1.81815670000000000000
0.0004,0.0004,1.43747720000000000000
0.0010,0.0010,1.04566510000000000000
0.0020,0.0020,0.81564820000000000000
0.0040,0.0040,0.50301800000000000000
0.0100,0.0100,0.20122760000000000000
0.0200,0.0200,0.10061660000000000000
0.0400,0.0400,0.05030920000000000000
0.1000,0.1000,0.02012390000000000000
