value_axis_2,MAX(value_axis_2),MAX(value_axis_1)/1000000
0.0002,0.0002,14679.9596936000000000
0.0004,0.0004,13986.6225693000000000
0.0010,0.0010,13131.7644332000000000
0.0020,0.0020,12528.7423049000000000
0.0040,0.0040,11961.0753224000000000
0.0100,0.0100,11232.2284415000000000
0.0200,0.0200,10075.9442580000000000
0.0400,0.0400,7414.4256399000000000
0.1000,0.1000,3898.1888896000000000
