"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Country = USA"",""Area = CA""]"																																						
	1806	3	25	8			2467		"CALIFORNIA:  SANTA BARBARA"	34.4	-119.7			6								1												1				
	1812	12	8	15					"CALIFORNIA:   SAN JUAN CAPISTRANO"	34.37	-117.65		6.9	8	40	1						2				1	40	1						2				1
	1812	12	21	19			609		"CALIFORNIA:   PURISIMA"	34.2	-119.9		7.5	8	1	1				1		2			100	1	1	1				1		2		1	100	1
	1836	6	10	15	30	0			"CALIFORNIA"	38	-122			10																								
	1838	6							"CALIFORNIA:  SAN FRANCISCO,SAN JOSE,SANTA CLARA"	37.6	-122.4		7	8								1												1				
	1851	5	15	16	10	0	781		"CALIFORNIA:  NORTHERN"	37.8	-122.4			6																								
	1851	11	13	2	51	0	785		"CALIFORNIA:  NORTHERN"	40	-122																											
	1852	11	25	7	9	0	798		"CALIFORNIA:  NORTHERN"																													
	1853	2	1	21					"CALIFORNIA:  SAN SIMEON"	35.5	-121			8								2																
	1854	5	31	12	59		819		"CALIFORNIA:  SOUTHERN"	34.4	-119.7																											
	1854	10	22	3	35		829		"CALIFORNIA:  NORTHERN"	37.8	-122.4																											
	1855	3	20	0	30	0	844		"CALIFORNIA:  NORTHERN"	40.75	-124.2			5																								
	1855	7	11	4	15		846		"CALIFORNIA:  LOS ANGELES"	34.1	-118.1		6	8								2	1	1	26	1								2	1	1	26	1
	1855	10	22	3	45		849		"CALIFORNIA:  SAN FRANCISCO"	37.8	-122.4																											
	1856	2	15	13	25		856		"CALIFORNIA:  NORTHERN"	37.5	-122.3		5.5	7																				1				
	1857	1	9	10	13	0			"CALIFORNIA: SAN LUIS OBISPO"	35.717	-120.317		7.9	7	2	1						3					2	1						3				
	1858	11	26	8	35	0			"CALIFORNIA:  SAN JOSE,SAN FRANCISCO"	37.5	-122			9								3																
	1859	9	24			0	886		"CALIFORNIA:  HALF MOON BAY"	37.6	-122.3																											
	1861	7	4	0	11	0			"CALIFORNIA:  CONTRA COSTA,ALAMEDA COUNTIES"	37.5	-122			11								3																
