Sector,Existing climate,Lower bound,Upper bound
Buildings,697.0353924,697.0353924,959.230317
Education,164.6872918,164.6872918,165.0452953
Health,0.4447632,0.4447632,0.4629891
Oil and Gas,0.0003576,0.0003576,0.0003888
Ports and Airports,1.1601947,1.1601947,1.2507704
Power,21.4679026,21.4679026,22.9227474
Roads and Railways,18.3804113,18.3804113,19.2882535
Telecommunications,7.2328972,7.2328972,7.0959916
Water and Wastewater,5.2649559,5.2649559,5.508084
