Sector,Existing climate,Lower bound,Upper bound
Buildings,1838.0081647,2161.2244091,1948.339943
Education,66.473828,78.1698787,70.4629076
Health,4.6304119,5.4434247,4.9086087
Oil and Gas,0.0020166,0.0022794,0.0021715
Ports and Airports,0.8110419,0.9496261,0.857614
Power,116.8528095,136.4239936,124.288308
Roads and Railways,180.6270983,208.8207325,192.0329697
Telecommunications,184.0503331,218.6451044,194.6376348
Water and Wastewater,20.7183288,24.445798,21.9466684
