value_axis_2,MAX(value_axis_2),MAX(value_axis_1)/1000000
10,10,213.2807426000000000
25,25,463.2844961000000000
50,50,705.8940893000000000
100,100,852.6208057000000000
250,250,959.0359779000000000
500,500,1068.4068864000000000
1000,1000,1223.0476613000000000
2500,2500,1529.5283001000000000
5000,5000,1874.2423103000000000
