value_axis_2,MAX(value_axis_2),MAX(value_axis_1)/1000000
0.0002,0.0002,66091.6872336000000000
0.0004,0.0004,54096.8472692000000000
0.0010,0.0010,43372.1501327000000000
0.0020,0.0020,37939.1196366000000000
0.0040,0.0040,34087.7451672000000000
0.0100,0.0100,30333.4163139000000000
0.0200,0.0200,25145.4767264000000000
0.0400,0.0400,16538.1610349000000000
0.1000,0.1000,7630.2763524000000000
