Sector,Existing climate,Lower bound,Upper bound
Buildings,0.6936502,0.6936502,1.7922007
Education,0.069582,0.069582,0.1796984
Health,0.0002485,0.0002485,0.0006418
Oil and Gas,1.5965021,1.5965021,1.8134025
Ports and Airports,6.689092,6.689092,8.0364939
Power,92.1601379,92.1601379,95.9235221
Roads and Railways,0.9488991,0.9488991,1.0962873
Telecommunications,86.5423905,86.5423905,89.0119723
Water and Wastewater,5.1773691,5.1773691,5.6517877
