"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Country = CHILE""]"																																						
	1520								"CHILE"	-40	-74			10																								
	1543								"CHILE"	-19	-70.5			10		1												1										
	1562	10	28	10			178		"CHILE"	-38.7	-73.5		8	11								3						3						3				
	1570	2	8	13			179		"CHILE:  OLD CONCEPCION"	-36.75	-73		8.3	11								2		3			2000	4						3		3		
	1575	12	16	18	30		185		"CHILE:  VALDIVIA"	-39.8	-73.2		8.5	10	21	1						3					1321	4						3		2		
	1604	12							"CHILE"	-29.9	-71.3			10																								
	1615	9	16				230		"CHILE:  ARICA"	-18.5	-70.35		7.5	10								2				2								2				2
	1633	5	14				246		"CHILE:  FORT CARELMAPU"	-41.8	-73.8											2		2				1						2		2		
	1639	12							"CHILE"	-30	-71.4			10																								
	1647	5	14	2	30				"CHILE:  SANTIAGO"	-33.4	-70.6		8.5	11	1000	3						4	300	3			1000	3						4	300	3		
	1657	3	15	23	30		281		"CHILE:  CONCEPCION, CHILLAN"	-36.83	-73.03		8	11		1						3		3			40	1						3		3		
	1657	7	9				282		"CHILE:  SANTIAGO"	-33.5	-70.7											1												1				
	1681	3	10				329		"CHILE"	-18.5	-70.35		7.5	10																								
	1687	7	12				335		"CHILE:  SANTIAGO"	-32.8	-70.7		7.5	8		1						1		1				1						1		1		
	1705	11	26				373		"CHILE:  CHILE:  ARICA"	-18.6	-70.2																							2				
	1730	7	8	8	45		400		"CHILE:  VALPARAISO"	-32.5	-71.5		9.1	11	2	1						3		3			5	1						3		3		
	1737	12	24				415		"CHILE: VALDIVIA, CHILOE"	-43	-74		8	11		2						2		2				2						2		2		
	1742	3	23				420		"CHILE:  CONCEPCION"	-36.8	-73																											
	1751	5	25	5	30		440		"CHILE:  CONCEPCION, CHILLAN, TALCA, TUTUBEN, CURICO"	-36.83	-71.63		8.5	11								3		3			65	2						3		3		
	1765						5489		"CHILE:  VALPARAISO"	-33.05	-71.617																											
	1796	3	30	10	45				"CHILE:  COPIAPO, VALLENAR, HUASCO, COQUIMBO"	-27.35	-70.35		7.7	11		1						2		3				1						2		3		
	1798	8	24						"CHILE:  COPIAPO"	-27.35	-70.35											2		2										2		2		
	1811	11	19	14	15		604		"CHILE:  VALPARAISO"	-33.08	-71.67																											
	1819	4	3	14	0				"CHILE:  COPIAPO"	-27.4	-70.3		8									2		2										2		2		
	1819	4	4	20	0				"CHILE:  COPIAPO"	-27.4	-70.3		8			3						3		3				3						3		3		
	1819	4	12	3	0		626		"CHILE:  COPIAPO"	-27	-71.5		8.5	10		1						3		3				1						3		3		
	1822	11	20	2	30		641		"CHILE:  VALPARAISO, QUILLOTA, CONCON,  ACONCAGUA"	-33	-72		8.5	11	72	3			200	3		4		3		3	72	3			200	3		4		3		3
	1822	11	25	12	15				"CHILE"	-33.05	-71.63			10								1												1				
	1829	9	26	19	12		673		"CHILE:  VALPARAISO"	-33.05	-71.63		7	11		1						1						1						1				
	1831	10	9	2	15				"CHILE: PERU:  TACNA,ARICA,AREQUIPA"	-18.5	-71		7.8	7		2						1																
	1833	4	25	14	30	0			"CHILE"	-28.5	-71.3			10																								
	1835	2	20	16	22		689		"CHILE:  CONCEPCION"	-36.83	-73.03		8.2	11	50	1	30	1	500	3		4		3			53	2	30	1	500	3		4		3		3
	1836	7	3				697		"CHILE:  COBIJA"	-22.6	-70.3		7.5																									
	1837	11	7	12	51		708		"CHILE:  VALDIVIA"	-42.5	-74		8.5	10								3		3			16	1						3		3		
	1838	5	7				710		"CHILE:  CENTRAL"	-36.7	-73.1																											
	1843	12	17	22	15	0			"CHILE"	-29.9	-71.3			10																								
	1845	6	4	2	15	0			"CHILE"	-18.5	-70.4			10																								
	1846	3	13	11	0				"CHILE:  COIAPO"	-27.35	-70.35			8								2		3										2		3		
	1847	3	8	15	0				"CHILE"	-32.45	-71.27			10		1												1										
	1847	10	8						"CHILE:  COQUIMBO"	-31.61	-71.18		7.3	8		1						1		1				1						1		1		
	1847	10	19				756		"CHILE:  COQUIMBO"	-31.61	-71.18																											
	1849	11	17	10	10		772		"CHILE:  COQUIMBO"	-29.95	-71.37		7.5	8		1						1				1		1						1				1
	1851	4	2	10	48		777		"CHILE:  VALPARAISO"	-33.32	-71.42		7.1	8		1						3		3				1						3		3		
	1851	5	26	18	14		783		"CHILE:  COPIAPO"	-27.35	-70.35		7.2	10								3		3										2		3		
	1855	8	11	9	15		847		"CHILE:  VALPARAISO"	-33	-71.7																											
	1858	4	24	11	15		875		"CHILE:  LA SERENA"	-30	-71.4		6.5	8		1												1										
	1859	10	5	12	0		888		"CHILE"	-27.35	-70.35		7.6	10	10	1					0.93	1	339	3			10	1						2	339	3		
	1868	8	13	21	30		983		"CHILE:  ARICA"	-18.6	-71	25	8.5	11	25000	4						4					25000	4					300	4				
	1868	8	14	1	30		5484		"CHILE:  ARICA"	-18.6	-71		8.5																									
	1868	9	14				989		"CHILE:  CENTRAL"	-36.7	-73.2																											
	1868	10	16				992		"CHILE:  CENTRAL"	-33.1	-71.7																											
	1869	1	27				995		"CHILE:  SANTIAGO, VALPARAISO"	-36.6	-73																											
	1869	2	6				996		"CHILE: VALDIVIA, CORRAl"	-39.9	-73.4																											
	1869	6	25				3040		"CHILE:  IQUIQUE, PISAGUA"	-19.6	-70.2																											
	1869	8	9				1004		"CHILE:  COQUIMBO"	-30	-71.4																											
	1869	8	21	16	40		5408		"CHILE:  IQUIQUE"	-21	-70		6.8																									
	1869	8	24	17	10		1010		"CHILE:  IQUIQUE, PICA; PERU:  TACNA"	-19.6	-70.23	30	7.5	8								1												1				
	1870	4	22	13	20	0			"CHILE"	-22.5	-68.9			10																								
	1871	3	25				1023		"CHILE:  CENTRAL"	-35	-72.5		7.5									3		3										3		3		
	1871	8	20				1024		"CHILE:  VALPARAISO"	-33.1	-71.7																											
	1871	10	5	9			1029		"CHILE"	-20.2	-70.2		7.3	10		1						3	101	3				1						3	101	3		
	1871	12	28				1031		"CHILE:  PUERTO MONTT"	-41.5	-73																											
	1873	7	7	6	26		1052		"CHILE:  LIGUA, QUILLOLTA"	-32.3	-71.16					1						3		3				1						3		3		
	1873	11	19				1053		"CHILE:  ANTOFAGASTA"	-23.6	-70.4																											
	1877	5	10	0	59		1075		"CHILE:  OFF NORTH COAST"	-21.5	-70.5	40	8.3	11	103	2					1.6	2		3			2385	4						3		3		
	1877	5	15				1079		"CHILE:  NORTHERN:  HUANILLOS"	-21.2	-70.1																											
	1877	6	15				1080		"CHILE:  NORTHERN"	-19.6	-70.2																											
	1877	8	23				1081		"CHILE:  IQUIQUE"	-20.2	-70.1																											
