Sector,Existing climate,Lower bound,Upper bound
Buildings,1772.4631719,1681.5084544,1824.0637191
Education,78.7131804,74.6808022,80.9971139
Health,1.1043854,1.047613,1.1366417
Oil and Gas,8.7692384,8.4953088,8.7532016
Ports and Airports,12.1441275,11.8714443,12.2012833
Power,605.3600158,567.5441179,625.1467101
Roads and Railways,215.3302792,202.2634904,222.6125611
Telecommunications,306.9188785,288.3432374,315.5155427
Water and Wastewater,16.090661,15.1128366,16.6313738
